De La Salle University, Incorporated
Officers and Administrators of the University
Academic Year 2017-2018

Board of Trustees
 
Chairman	Mr. Edgar O. Chua
Vice Chairman	Br. Victor A. Franco FSC
President	    Br. Raymundo B. Suplido FSC
Treasurer	  Br. Dennis M. Magbanua FSC
Trustee	  Atty. Perry L. Pe
Trustee	  Mr. Cesar V. Purisima
Trustee 	Mr. Gerardo C. Ablaza, Jr.
Trustee	  Mr. Ramon R. del Rosario, Jr.
Trustee 	Br. Augustine L. Boquer FSC
Trustee	  Mr. Omar T. Cruz
Trustee	  Mr. Edgardo G. Lacson
Trustee	  Br. Manuel R. Pajarillo FSC
Trustee 	Sr. Corazon P. Manalo DC
Trustee	  Br. Jaime M. Dalumpines FSC
Trustee	  Mrs. Elisea G. Gozun
Corporate Secretary 	Atty. Cirilo T. Tolosa
Asst. Corporate Secretary	  Atty. Isabel Regina Gemma T
